"PMCID","sentence_id","top_section","CONSORT_Item","sentence_text","labels"
"PMC4797126","S11","Methods","['0']","exploratory analyses were conducted on biomarker subgroups (periostin  blood eosinophils  serum ige  and exhaled nitric oxide).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S12","Results","['0']","results","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S13","Results","['0']","quilizumab was well tolerated and reduced serum total and allergen-specific ige by 30–40 %  but had no impact on asthma exacerbations  lung function  or patient-reported symptom measures.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S14","Results","['0']","at week 36  the 300 mg monthly quilizumab group showed a 19.6 % reduction (p = 0.38) in the asthma exacerbation rate relative to placebo  but this was neither statistically nor clinically significant.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S15","Results","['0']","biomarker subgroups did not reveal meaningful efficacy benefits following quilizumab treatment.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S16","Conclusions","['0']","conclusions","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S17","Conclusions","['0']","quilizumab had an acceptable safety profile and reduced serum ige.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S18","Conclusions","['0']","however  targeting the ige pathway via depletion of ige-switched and memory b cells was not sufficient for a clinically meaningful benefit for adults with allergic asthma uncontrolled by standard therapy.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S19","Trial registration","['0']","trial registration","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S20","Trial registration","['23']","clinicaltrials.gov nct01582503","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S21","Electronic supplementary material","['0']","electronic supplementary material","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S22","Electronic supplementary material","['0']","the online version of this article (doi:10.1186/s12931-016-0347-2) contains supplementary material  which is available to authorized users.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S23","Background","['0']","background","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S24","Background","['0']","asthma  a chronic inflammatory disorder of the airways  affects over 300 million people worldwide [1].","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S25","Background","['0']","some patients have persistent symptoms despite the use of steroids and other therapies.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S26","Background","['0']","these patients are at the highest risk for future exacerbations and unscheduled use of healthcare resources [2].","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S27","Background","['0']","asthma is a heterogeneous disorder with distinct endotypes  the pathogenic cellular and molecular mechanisms that drive disease in different patient subgroups [3–6].","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S28","Background","['0']","allergic asthma is a hypersensitivity driven by the complex interaction of epithelial  dendritic  and type 2 innate lymphoid cells  leading to activation of cd4+ t helper 2 (th2) cells in response to allergen exposure [7].","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S29","Background","['0']","th2 cells produce interleukin (il)-4  il-5  il-13  and other cytokines that promote immunoglobulin e (ige) class switching of b cells  increased ige synthesis by plasma b cells  and recruitment and activation of eosinophils and other inflammatory cells.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S30","Background","['0']","when allergen cross-links ige bound to ige receptors on mast cells and basophils  cell activation and allergic mediator release occur  which may lead to mucus production and airway hyperreactivity [8].","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S31","Background","['0']","biomarkers in sputum  bronchoalveolar lavage  blood  and bronchial biopsies may indicate a particular endotype and potentially identify patients with increased responsiveness to endotype-specific treatments [5  9].","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S32","Background","['0']","for example  elevated levels of serum periostin  an extracellular matrix protein induced by il-4 and il-13 in airway epithelium  identified a subset of asthma patients who responded better to lebrikizumab  an anti-il-13 monoclonal antibody [10].","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S33","Background","['0']","similarly  patients with high levels of exhaled nitric oxide (no)  blood eosinophils  or serum periostin  had fewer asthma exacerbations following treatment with omalizumab  a neutralizing anti-ige antibody  than patients with low biomarker levels [11].","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S34","Background","['0']","these data suggest that ige may drive allergic asthma in a subset of patients.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S35","Background","['0']","quilizumab is a humanized  monoclonal igg1 that binds to the m1-prime segment present only on membrane ige [12]  but not on soluble ige in serum [13–15].","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S36","Background","['0']","membrane ige is expressed on ige-switched b cells  ige memory b cells  and ige plasmablasts  but not on ige plasma cells [16].","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S37","Background","['0']","in animal studies  anti-m1 prime bound membrane ige on ige-switched b cells and plasmablasts and depleted them through apoptosis and antibody-dependent cell-mediated cytotoxicity  leading to fewer ige plasma cells and less production of soluble ige [17].","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S38","Background","['2a']","we previously evaluated the safety  tolerability  and activity of quilizumab in phase ia (31 healthy volunteers) [18]  phase ib (24 allergic rhinitis patients) [19] and phase iia (15 mild asthma patients) [19] studies.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S39","Background","['0']","in these studies  quilizumab reduced serum total ige by approximately 25 %.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S40","Background","['0']","these decreases were sustained for at least 6 months after the last dose  in contrast to omalizumab  which must be administered every 2–4 weeks to maintain reduced ige levels [20].","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S41","Background","['2a']","quilizumab also abrogated the increase in challenge-specific ige in patients with mild asthma following a whole-lung allergen challenge  and reduced the early and late asthmatic reactions [19].","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S42","Background","['0']","quilizumab may reset the ige repertoire by targeting ige production and provide a more sustained effect with a lower dose frequency then omalizumab.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S43","Background","['2b']","the primary purpose of this study was to evaluate the efficacy  safety  and pharmacokinetics of quilizumab after 36 weeks of treatment in adults with allergic asthma inadequately controlled despite high-dose inhaled corticosteroids (ics) and a second controller.","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S44","Methods","['0']","methods","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S45","Trial design","['0']","trial design","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S46","Trial design","['3a', '4b', '4a']","the costa trial of quilizumab was a phase ii  randomized  double-blind  placebo-controlled study (including recruiting sites from 14 countries: argentina  belgium  bulgaria  canada  germany  hungary  mexico  new zealand  peru  poland  romania  russia  ukraine  and the united states) that enrolled 578 adults with uncontrolled allergic asthma.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
"PMC4797126","S47","Trial design","['3a', '8a', '5']","patients were randomly assigned (1:1:1:1) to one of three dosing regimens of quilizumab or placebo using an interactive web response system.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
"PMC4797126","S48","Trial design","['8b']","randomization was stratified based on serum periostin level (<50 ng/ml  ≥50 ng/ml)  exacerbation history (number of exacerbations (1  >1) requiring use of systemic corticosteroids in the prior 18 months)  ige level (≤75 iu/ml  75–200 iu/ml  >200 iu/ml)  and country.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S49","Trial design","['11a']","patients and study site personnel were blinded to treatment assignments until all follow-up data through week 84 were collected and verified.","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S50","Trial design","['5']","quilizumab (genentech  inc.  south san francisco  ca) was delivered subcutaneously at nine monthly intervals at 300 mg per dose (300 mg m)  or at three quarterly intervals and at week 4 at 150 or 450 mg per dose (150 or 450 mg q).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S51","Trial design","['5']","the treatment period ended 36 weeks after randomization and was followed by a 48-week period to assess the sustained efficacy and safety of quilizumab (see additional file 1: figure s1).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S52","Trial design","['0']","ethics  consent  and permissions","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S53","Trial design","['0']","quorum review based in seattle  wa was the primary central irb used by sites in north america  however multiple other site-specific institutional review boards at other global sites approved the protocol and patients gave written  informed consent.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S54","Trial design","['0']","the trial was conducted in full conformance with the international conference on harmonisation e6 guidelines and the declaration of helsinki  or laws and regulations of the country where the research was conducted  whichever afforded greater protection to the individual.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S55","Participants","['0']","participants","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S56","Participants","['0']","inclusion criteria","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S57","Participants","['4a']","adult asthma patients  aged 18–75 years  were required to have: bronchodilator reversibility of either ≥12 % β-agonist reversibility using 4 puffs of a short-acting β − agonist (saba) or a pc20 fev1 methacholine (provocative concentration of methacholine producing a 20 % fall in fev1 (forced expiratory volume in 1 s)) of 8 mg/ml or less  within the last 2 years; a pre-bronchodilator fev1 at screening of 40–80 % predicted; daily use of ics (≥400 μg/day total daily dose of fluticasone propionate or equivalent) and a second controller for a minimum of 3 consecutive months; inadequately-controlled asthma as documented by a 5-item asthma control questionnaire (acq-5) [21] score ≥1.50 at screening and randomization  despite compliance with asthma controller therapy; at least one positive aeroallergen-specific ige (≥0.35 ku(a)/l)  or a total serum ige ≥75 iu/ml; and a history of at least one protocol-defined asthma exacerbation in the 18 months prior to screening.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S58","Participants","['6a']","asthma exacerbations were defined as new or increased asthma symptoms (wheezing  cough  chest tightness  shortness of breath  or nighttime awakening due to symptoms) that led to treatment with systemic corticosteroids for at least 3 days or to hospitalization.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S59","Participants","['0']","exclusion criteria","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S60","Participants","['4a']","patients were excluded from the study if they had an asthma exacerbation requiring systemic steroids in the 30 days prior to screening  or between screening and randomization  a >20 % relative change in fev1 between screening and randomization  any pre-existing active lung disease other than asthma  any infections  elevated ige levels for reasons other than allergy  or were former or current smokers.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S61","Outcome measures","['0']","outcome measures","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S62","Outcome measures","['6a']","the primary efficacy outcome was the annualized rate of protocol-defined asthma exacerbations from baseline to week 36.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S63","Outcome measures","['6a']","secondary efficacy outcomes included assessments of lung function using the relative change in pre-bronchodilator fev1 from baseline to weeks 12 and 36 and the change in asthma symptoms from baseline to week 36  using total and daytime symptom severity scores derived from a daily patient diary.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S64","Outcome measures","['6a']","the diary was also used to determine the proportion of patients who had no nighttime awakenings due to asthma symptoms and the proportion of patients with fewer than 2 days of saba use per week by week 36.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S65","Outcome measures","['6a']","exploratory outcome measures included the change in asthma control from baseline to week 36  as measured by the acq-5.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S66","Outcome measures","['6a']","to assess the change in allergy-related quality-of-life measures from baseline to week 36  the standardized asthma quality of life questionnaire (aqlq(s)) [22] and the standardized rhinoconjunctivitis quality of life questionnaire (rqlq(s)) [23] were administered at patient visits throughout the treatment and follow-up periods.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S67","Outcome measures","['6a']","we also evaluated the ability of biomarkers (serum periostin  blood eosinophils  exhaled no  and serum ige) to predict benefit from quilizumab.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S68","Outcome measures","['6a']","safety outcomes were assessed throughout the 36-week treatment and 48-week follow-up periods.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S69","Assessments","['0']","assessments","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S70","Assessments","['6a']","the patient daily diary included two sections in addition to peak flow measurements: 1) a morning section capturing awakenings and rescue medication use at night  and symptoms on awakening; and 2) an evening section capturing daytime symptom severity  rescue medication use  preventive inhaler use  activity impairment during the day  and nasal symptoms.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S71","Assessments","['6a']","the modified total asthma symptom score (mtass) was generated from a subset of diary questions adapted from a previous questionnaire [24]  scoring nighttime awakenings (0–3)  symptoms on awakening (0–1)  and daytime symptom severity (0–4)  for a total score range of 0–8.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S72","Assessments","['6a']","for the analyses of symptom scores  rescue medication use  and nighttime awakenings  daily scores were averaged over the previous 7 days prior to the time point of interest.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"PMC4797126","S73","Assessments","['6a']","baseline values were derived from a minimum of 10 days of patient diary entries during the 14 days prior to the first treatment.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
